channelId,name,joined,views
UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,11102133844
UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,2006-08-07,10976405364
UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,3417447509
UCLXo7UDZvByw2ixzpQCufnA,Vox,2014-03-04,2831048126
UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,2012-10-09,17721637095
UCXIJgqnII2ZOINSWNOGFThA,Fox News,2006-09-19,10525028734
UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,2842917535
UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2013-11-20,2479878071
UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,4401537751
UCcyq283he07B7_KUX07mmtA,Business Insider,2009-10-02,2596284297
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,2005-12-21,5689050278
UC69uYUqvx-vw4luuX7aHNLQ,True Crime Daily,2014-07-11,2461644207
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2011-12-01,7367485982
UCpwvZwUam-URkxB7g4USKpg,RT,2007-03-28,3593096293
UC8p1vwvWtl6T73JiExfWs1g,CBS News,2006-09-27,3324793391
UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2006-09-18,2497367330
UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,2013-08-21,2464151987
UCHTK-2W11Vh1V4uwofOfR4w,AP Archive,2015-06-17,2447276087
UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,2006-09-16,1354019148
UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,2016-11-01,921901050
UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,2006-10-13,1319883243
UCK7tptUDHh-RYDsdxO1-5QQ,Wall Street Journal,2007-06-18,1314271229
UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg Quicktake,2006-03-09,726819909
UChLtXXpo4Ge1ReTEboVvTDg,Global News,2009-11-04,1660885476
UCuFFtHWoLl5fauMMD5Ww2jA,CBC News,2014-07-25,1564120714
UCt-WqkTyKK1_70U4bb4k4lQ,TomoNews US,2013-01-14,1037898394
UCaeO5vkdj5xOQHp4UmIN6dw,The Daily Wire,2015-08-20,779765637
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,2006-06-17,1046697991
UC5O114-PQNYkurlTg6hekZw,United Nations,2006-05-21,290806835
UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,2009-03-23,214285754
