videoId,nComments,nNegativeComments
u_Lrrhqp17c,1,0
810HUzygE0E,180,7
cBa5-gUm4a4,18,2
7kiX11zXIGw,614,18
CvOB3Zxg0G0,88,4
7mzP3RxWOsM,755,39
8mdButnYisM,119,3
wRLwaq5HzkE,2077,86
Nc2KHjGz0Co,19,0
xk8ToPvJVoI,6,0
KxRmFsBgnoo,3,0
8Nx2cozzJBQ,2,0
oO4kzstnFXI,3009,86
0cVyYMOGxVI,45,8
PuQjcG01ob8,2,0
XuL7E7WtlPw,3,0
niSYzMTd0cA,504,53
Lhao3HJPYT8,70,2
2lavS4P-dfg,7,1
cWrmNU6QkeU,761,21
OQ1UDYKF04I,2100,199
7EJeA8yLgqo,8822,281
rd1zjwfe8ks,565,15
gBcQxPsrZXM,2,0
_VvluqBBJcI,198,9
3lOWHWQCo2M,22,0
SIG5UDZbCCg,647,49
mwIEBf7v9BA,6,1
bX-nMpFULFE,1,0
dWh7khe8bbo,784,24
vlczNepLypQ,38,1
7z0LoYF9ItU,2,0
aWf-SY0vApA,5,0
smpJM315T7k,525,15
slI2EuhR1HI,623,7
qFyxwWI6mV4,190,14
jUrF_Sme7YI,373,8
aQzGPDnJqmc,5154,153
cAxShqL53LI,260,7
Nmo_il5etoQ,40,0
uhPThInhtKQ,509,39
Cn7-eS2yoJQ,9,0
5dNenlPJ0FU,14,1
lQZdC9Vktl0,237,21
zjz-R5MLfEw,7881,341
aKNPP8nwD_E,2273,75
PzrBONtgKA0,167,8
qmpqKJoC_4c,4507,176
jtTsixvhMBY,1397,37
anYwA38FrmQ,1718,63
3Nc4_oobCT8,167,7
lTvg2RDigpc,295,8
oUpHwER4vLs,33,1
RGSE29eo2kg,63,2
58f15ZZx_gY,1,0
8fScpcaSCOQ,54,3
tVjZL1fUDvw,71,1
hSONFlpkHqs,3,0
FTSBCjI6an4,227,6
_laKJi8Xwh8,2383,71
E1uhKOKRx-4,999,11
dnYc8le1Kn0,65,5
oInfuEOh4Pc,241,3
FyFpNs8Oy5o,67,1
egRDo02RYYQ,7,0
ZlLy-gT0n_k,18,0
3KEHOSJl0d8,557,24
l8D6GRBZv18,153,2
4cr6XJ9ZuqA,15,0
cMzev45ftKg,808,54
SfpVSZ1SpjI,42,1
q2yUdPgYYrU,142,3
83GKyOKsqvE,175,11
kWqm-45gygk,19,0
YwZyvey1uwk,752,39
Iud-fYe4LM4,23,0
0665Fg_Eab4,38,2
QT3-3YJjF6A,1382,48
wzCl_sMrJaI,3995,219
HB4gpxpT9Ww,1,0
s6dfbmBAOKE,62,0
vQNl8PpcSHw,1283,29
F9Io-SNP-9Q,1,0
Q9VmCg7VifI,492,22
EJ9FzH1PJsY,8,2
V7vdW_wlM4A,426,32
lujyi7dzwZU,487,18
ZBcnWreL-ro,11,0
rS1j-pt7yls,4,1
pv30U2M0ZMA,148,14
jB1487d3K4E,148,6
nVEB-hTu9xM,230,15
I7a-z-cbvI4,13,2
xeiTHjFdff8,275,6
41uet4dYIP0,19,1
m-uhTne2KPI,35,2
G0dBPRI76yA,12,0
HBByrJ0kRJw,1,0
hw25L8OiA5Y,154,11
LS9z3kKmVFw,46,3
e1uPISkMDLE,1556,69
pFbjdmZ4dxM,1355,38
r0im3i6TN14,327,24
phB10ZoGWBM,2689,78
5Ng827eXrc0,9,0
5veb9WfqO7E,21,0
eAQwVUJw1ho,99,4
GBOIHIYPhdg,535,15
34RRKctVNws,703,14
VU1ThfGgRig,84,1
4AhWf_sr0Bc,2954,86
Pe7j8QX14t8,120,5
MP3WdlZZghs,328,15
kculDNpkCWo,21,0
1uxeWlx66ns,207,18
-vIAxdFIoa8,28,1
hqKCsFbuBOk,68,4
3U8V_pHWWKI,1349,27
0R8rAbVBQ84,3150,87
8cJu4YFaBtM,226,18
CaTYPBTs4To,766,22
54Z45qRDa0M,176,13
erSy5GAaE8Y,107,2
djDWTgqDYC4,16,1
-DIk__HLeMU,2228,49
4ERZa2DqsA8,21,0
eTHzny22144,145,5
Wnakj2G99ds,38,1
3x1tJo8vCn4,35,2
RnK3VU67f2Q,20,1
nDVh2g-n3Ts,26,2
WO1wJloXVw0,54,1
mSp64slMwTk,450,49
7fY3e6TGtYM,221,19
ZCj4njYN12I,1,0
vB0PubKXNcw,6,1
5x5X0hkCTWU,50,2
oq8Y0FWzF4w,96,4
EibMHm4DGqc,167,7
2QfLiDDvwl0,83,4
qqOL9M9xVPU,10,0
padPPUbfJ5c,42,0
z5y6cx-U1BY,30,3
2corSKUV5nw,19,0
VKAh1QceArg,27,2
Sj0Wrt8xcJM,789,52
Xprrn5Tle6U,37,1
Xwz82Wy2S2I,54,5
Itw0QPbqMXI,33,0
QfN2FTNJLdc,36,1
Ctl9BxdQ8w4,3316,322
f0EpnIAbUGE,71,1
Iqg33eXgxXw,111,0
aSrWT3PajDM,69,3
TNdzylE1NSU,3793,155
Tz4XF23T1-U,4839,324
qxkpon3StMg,13,0
E4xHQvAAbbE,265,23
DNiPS0yRKrs,340,8
qApFRCLQKzE,47,2
-pgJKu0zt8g,2,0
JHfL6_f-Se8,265,11
u0XADaQb-RQ,41,3
SIqogSS8MA4,1787,35
6ky0I852b1s,1563,70
LWg31n5wuHI,80,3
o-fIZ_-NwA0,653,13
ezdv7UbrzUU,49,1
XaBkp-aCj-c,3,0
RwUoG7q7WHM,39,1
hYriEVLKPCs,4548,185
vGQfhNh3zGs,62,1
NwYm4EaBlts,128,4
HsjDAPnot3I,5,0
dq-B7qFBthE,144,6
Cy4ovPDCWz4,709,27
hFRr4zF5zRE,78,1
3fcNX1aVx3A,632,41
PuKhW-NOKHs,266,14
sf5QfWIuCDg,1041,25
ttnFVI1fsDE,24,2
ZrccChZecWs,2160,158
HvAg45w8lhY,264,6
2lVNf_jzmMQ,577,11
z30UVcceHLA,5,1
enl1OO8px04,1858,90
mQIDF4Y9ZGM,331,22
6EnRcDPpqUs,92,4
xA4MiTj3uS8,590,22
jNVw4rlZbXc,300,6
msTA-Qttw18,1,0
J7QmSsqUG3k,735,14
UO7Ft08-EOU,1842,97
dwShXgSYts4,4985,291
gi4L0mL45zs,10,1
9detk36gqCM,427,9
MlRiBVEVpZw,1734,63
j3xyfwNafUc,315,23
_HICaBRL5g4,1903,67
kD647iUlmLo,576,27
xR4U9dbVgy8,5,0
R0DByqBMOs8,6,0
5GJv-OMlhdQ,2116,77
3-N4L6AaKN4,173,3
MLzuN5XulfM,76,4
M0ZY8mM3vY4,4,0
vVE6_KokwvQ,36,1
dt3rQaoNjt0,12,1
pyN0lBEY-E8,1375,64
cR5dX0N2N4E,48,4
9Njzkmv61cw,21,3
-a5dyLzigb4,1072,22
1pKCZqmP9dg,773,35
SIWCBAJPGNo,13,1
t4Dj88H923I,420,18
h1-92U0NdEc,56,2
xtRv-pZP9ic,326,25
D_2JdECOcE8,33,1
YkSbBA1-Oqk,80,4
0WgXGU5geJM,558,9
iC169E2ojM0,15,1
X5j7dLEbCow,16,0
vg8swH9HV1c,26,4
PNTWdO9Q3zM,36,2
NZg2hK7DS2I,95,6
XtElvvch0Ns,1125,49
iZ6sgGHasDw,28,1
rr4IUhM7cF0,109,5
AxFR84QctrI,238,10
60cAhw4wjoY,790,14
ooiww4rDqjA,94,2
608lsQfxQk8,5265,331
WWVRxT0hGKY,38,4
fDEoD_3Iyes,54,1
z1wj622Ghi4,675,24
K6YmtZ5Ovxw,35,3
Rp3KkqPPdsc,230,54
uOOU0HOLXdw,287,11
hSj63KYLHd4,98,5
w7tDgOurVKg,167,9
4R5vCHvMCVk,499,13
bT8is56_04U,29,1
oJVkME2cy6E,2939,101
_9iZuU96jjk,30,0
hDm6iIWe-k4,155,4
9oQa9E5as-Q,74,4
EKv6TuL6iEo,67,7
khfpq0kkBS0,93,3
uBr98dr5fjc,1094,28
4tURrF6bLf4,7,0
RFKH2GTQNGc,27,0
NQq1Kr7om8I,196,13
1SI0s9Daid4,99,12
mM7uuVfwjE0,1295,48
1nSbYTqIqzg,35,1
ObnzoT2aSZ4,44,4
RBCcy6x4DFY,90,6
YtMLHLjwrlo,8,0
03BQZT72PKI,37,3
YvCU-rlIvNE,9,0
J6VLi4Xtf50,331,14
mOs_dTG_lYk,458,22
jiDwYsMP-5c,122,20
DgqijrSEOcc,20,1
dOCYxHk1Bl8,3075,140
9RbZecUFQg4,23,5
22c6H-8JlAU,60,2
BHz3IFJMRH0,254,6
wknXCTXHhws,268,5
f3AwI7EF8Fc,153,6
EcHygY22sUc,366,9
oelpcsIyF0o,7184,766
3JBGcor6Hhw,2705,78
Z4lOBiaujC8,218,15
W3I7nKAkaE4,98,3
DWMuJSMFWWA,68,5
TZklMnxAVik,3,1
BhppJB0rcCA,44,0
h2kHtS6SYoQ,283,13
hxKarHohVvc,72,1
kzi1AXQ2W4Y,2577,99
fv6jfqj2Hqc,1420,53
qsBH2qmCmmg,3,0
E4GXPtsHwKE,1663,75
KbvgrnNEUuQ,43,0
Hd_QE775hl8,1,0
2rdeD-9BF9M,2,0
F38VvfRHOi0,259,34
rDXnOxY8hFM,7,1
YPX6oZmuIzc,2,0
tKNLDJOELcY,10,0
qYMF7tAD3wY,266,8
gHKtOwO-mQA,35,0
oLueBjkSObE,1339,41
oH42gMjvQHU,352,10
KYarnMGk7Ak,42,0
PtSSoZW19vs,2043,30
OOqgtLij_WA,121,0
4x2AhjDC4AA,3477,172
ZTFLsFu7g1c,60,6
RbBBHibty5U,375,12
mF4zkdtrGZU,56,2
eWIY6bGixZE,2,0
wneboFj2-Tc,996,36
Azf0-kqTv2A,13,0
qZnSFy2PqUc,4,0
njgSzB-7-TI,11,0
1fqEKnuqmf4,567,20
orZCGyR6ihA,660,61
7mXwWZ1SdyM,76,3
N0gxa65uHQk,278,4
K5gWokTxhhc,18,0
fvzdaJ6_DXc,3188,119
q_z0OVw8_ao,516,19
pHZqW3z9Nhk,1079,27
sNBkO5DtAJQ,24,0
03IRD7MWPAo,71,1
xtHExWjAWys,1,0
Uy_zobIeq60,25,2
ty_uXKyfqjw,6,0
A06u46HW-v0,38,1
Zsa7DUnqsUI,117,2
aZM5DXyrE8c,52,2
K4ASFZbfNnY,484,9
VvxozSWWLrs,73,2
yMsDUEnOw8c,161,2
hK-ReVOkxQk,134,5
_yn3P3CiQeU,169,8
1UUdyeNjSFc,65,1
_NrV0UegeuM,616,27
QsP-n54qBEU,3264,161
JfGaaL-0YDk,841,14
febQEOF4IUI,88,1
RPwbcrncxcs,59,1
yYV5fxU3uXY,654,46
XuZ5qVzuLsU,120,12
-F2r0P91apQ,122,13
Ui3JxeHAA9M,1,0
OzRR6ROQ-mA,1854,88
n5KuI25WsVk,1314,34
CvGccmT5xv8,499,13
YN-oUBXZ0lM,1,0
wntPNb0mEBM,23,0
T6XfoFwK8i4,1312,39
FqSaS_2m4r0,606,19
uVFkLqwHMQQ,28,0
d7g2jmjqBys,186,7
EG4s3MmE70k,664,35
7BZ3K0tGuiU,50,0
-ctkwhCjYA4,298,3
h1ptq3xxne0,35,2
_n5XraK8EJk,279,5
979SQWhVTzo,2,0
Q8eroy8veAY,6,0
s5goCJIs-8I,274,13
jvNXgDRv_RQ,1434,47
f1Izh3-c88Y,5799,184
Sj44GtzQUTs,1142,47
K7j0razK1J0,259,13
I2EEifSWm40,306,8
UMgjkNXmUUg,47,0
LJ9dp8YAsuY,2,0
gjutRbwSZYQ,6,0
X0FwfkGObJM,80,2
948tpGNHGdc,39,2
8nQKvNZMF2c,312,7
aKnyKFIyZ4M,17,1
IdByeRm8K5o,634,26
rk7HGLQyAO4,308,29
bJY_plZjkZg,679,15
vHGB5L3J8aM,94,1
0nZ8O1oRN2w,24,0
ZPNA8Kf1xNY,295,26
eGhIBV1q1pY,4509,229
tYNoIpPm1vQ,83,8
13TmcAR5jos,1,0
3QaeFu0ueio,394,15
2XdgpAnAgNI,247,4
w3pEoScbc6k,12,0
RWqpQbrXysQ,141,4
3HMSQPMS6p4,2376,41
OSP4I39CcLk,51,2
vC76lAT87F0,840,20
6t3pImuB9uY,1379,36
9wu9zUWItY4,75,1
be3FXm95Vpc,43,1
soFeGPcJjPI,185,4
sxMxQD2mLVI,840,27
HexxBWnxx0U,9,0
DpnBEhxnjIg,53,1
IaQ0zKOeCEo,4768,181
q1HEQ7OsrSQ,32,1
1esX45gllB4,249,7
WwiOFYGLV2g,1,0
iH4K6kWA3ws,2,0
m6vs7qHJ9eQ,1567,38
L_YkParn9os,1813,28
fnLMaAw685I,26,0
-GT7qqVlLA8,48,1
uWEn7eUmnDc,338,17
