comment,eng,neg,neu,pos,com,ncr1Vadr,ncr2Vadr,ncr1Hand,ncr2Hand
"If he did not follow through with his gut, he might have been no.9 or injured. Who knows? Glad he left.",TRUE,0.109,0.769,0.121,0.0772,0,1,1,1
That's what happens when you give spoiled kids participation trophies they turn in to adults that expect everything handed to them. Hope she gets what she deserves out of this. Terrible just Terrible,TRUE,0.17,0.757,0.073,-0.5893,1,1,1,1
that just means the kids are extra safe now tho right? 😒,TRUE,0,0.805,0.195,0.4404,0,0,0,0
It's almost like we were right the whole time. Imagine that.,TRUE,0,0.819,0.181,0.2975,0,0,0,0
Worst judge ever. I hope he is removed.,TRUE,0.315,0.462,0.223,-0.296,1,1,1,1
Damn that Steve's got a huge head,TRUE,0.27,0.5,0.23,-0.1027,1,1,1,1
If only He would have stayed home...theres no reason to go to these protests honestly. Just stay home a live Your life. You only have one life,TRUE,0.132,0.772,0.096,-0.0258,1,1,0,1
The only clowns i see are these women,TRUE,0,1,0,0,0,0,1,1
Picking a fight with Big Bird is not being a good dad. LOL,TRUE,0.27,0.539,0.191,-0.1212,1,1,0,1
Nothing like baiting the bear!! Hahaha,TRUE,0.205,0.389,0.406,0.4721,0,1,0,0
This is why CPR and the heimlich maneuver should be taught in schools across the world..,TRUE,0,1,0,0,0,0,0,0
"Did MSNBC just say on a tweet that inflation is good thing?  ,,,,please, for the sake of humanity, don't believe that garbage. Theres a word for this corruption and its call payola. Look it up. (and I think its illegal)",TRUE,0.079,0.808,0.114,0.1531,0,1,1,1
It's a shame to that I won't be able to dislike Ben Shapiro and Daily Wire's lame videos.,TRUE,0.362,0.638,0,-0.8176,1,1,1,1
"Excellent film. Alex Haley's Queen, starring Halle Berry, is another good examination of racial passing.",TRUE,0,0.663,0.337,0.765,0,0,0,0
Stop trying to bribe us.  It won’t work!,TRUE,0.417,0.583,0,-0.5093,1,1,1,1
"I am in big bird, I will campaign massively for you.",TRUE,0,1,0,0,0,0,0,0
How about what Hunter Biden did? How about Joe Biden giving billion dollars to bribe a Ukraine official? How about Biden lying to your faces every single day.,TRUE,0.169,0.758,0.073,-0.4871,1,1,1,1
Making America great again is racist.,TRUE,0.331,0.331,0.339,0.0258,0,1,1,1
"If you have to do fun clown stuff to make abortion more palitable, then maybe that says something about how awful it is",TRUE,0.11,0.769,0.121,0.0772,0,1,1,1
I don't know if Fox knows but in every construction project all races work together to build a road a school ect. Now forced this mandate down our throats which is not Constitutional by a president who can barely speak let alone have the decision making capacity for the American people? I think not. FJB,TRUE,0.103,0.897,0,-0.7273,1,1,1,1
"I'd say progressives and liberals that attack anime arts because ""it attracts the male gaze"" and anime artists for making anime art that ""are not biologically accurate"" are taking things too far. There attacks are not progressive or liberal in any sense instead it's restrictive and conservative,... that's right I said it! It's why these ""progressives"" and ""liberals"" that act like a man-child conservative especially those multi-colored k*rens on social media should be called out and don't be afraid to call them out for it especially if you're a decent and real progressive or liberal that appreciates the art and free speech, if you're classy and cultured individual then even more so.",TRUE,0.048,0.833,0.119,0.8398,0,1,1,1
wow,TRUE,0,0,1,0.5859,0,0,0,0
What is this guy doing. Enough is enough. Are you serious. Its time to get these socialist power grabbers out!  Its up to the people to do something about him! Wake the f up America!,TRUE,0.06,0.94,0,-0.2905,1,1,1,1
How excited NBC must be to do some more fear mongering and lies!   Ivermectin works and would have eradicated it a long time ago!,TRUE,0.286,0.638,0.077,-0.7619,1,1,1,1
Perhaps it should be a federal crime to harass election officials (paid & volunteer),TRUE,0.358,0.642,0,-0.7717,1,1,0,1
i just put out a horrible joke i heard when i was a kid...deleted...sorry,TRUE,0.198,0.678,0.124,-0.3182,1,1,0,1
Seems Wayne LaPierre and tRUMP would get along great and there was absolutely no attempted coup what so ever. Just fawking WoW 😳,TRUE,0.079,0.669,0.252,0.7512,0,1,1,1
"I want you to cover news on what happened on Waukesha christmas parade recently, Don. The background of the attacker and everything about him.",TRUE,0.137,0.815,0.048,-0.5267,1,1,0,1
Saturday Night Live is hiring for comics,TRUE,0,1,0,0,0,0,0,0
"jump on the tree thing 5. I am a tree trimmer from Detroit,majority of the big healthy trees are in the urban areas, the cookie cutter suburbs have smaller trees, and they die sooner, look into it",TRUE,0.094,0.841,0.065,-0.296,1,1,0,1
Meg McCain's words are never conflictory.  Very rare for a woman.,TRUE,0,1,0,0,0,0,0,0
They’re just mad because Millie didn’t go along with their little coup,TRUE,0.225,0.775,0,-0.4939,1,1,0,1
But Chris the ruin continues b/c 2020 issues (Fraud) are not fixed yet. Duh,TRUE,0.464,0.536,0,-0.9081,1,1,0,1
"So Ben, an important question. If the courts go on the side of the vaccine mandate, will you comply then?",TRUE,0,0.902,0.098,0.2648,0,0,0,0
Hey Chris is back,TRUE,0,1,0,0,0,0,0,0
"this  procecutor [ ? ] is very, very, very DIRTY, has sold his soul to his minders",TRUE,0.218,0.782,0,-0.6671,1,1,1,1
YES they were fake everyone say it and knows it what a big baby seriously dude u did the crime do the time .,TRUE,0.262,0.63,0.108,-0.595,1,1,1,1
"I try to create a convection current in my house during the summer to cool my house down. It works really well. I keep thinking about buying AC every year, but I think I'll stick to my usual routine after having watched this. Might paint my roof though",TRUE,0,0.902,0.098,0.4398,0,0,0,0
I wish the military and law enforcement would over throw this corrupt administration themselves. These corrupt politicians are only powerful before they use the military and law enforcement to protect them while spitting on them at the same time. A real military should not be bound to an oath if it means going against your country and what it stands for. When treason and tyranny is involved they should be able to refuse orders and overthrow the administration. As an army vet that’s something I’ve never agreed with is as soon as you swear an oath you’re brainwashed into doing whatever they want  even if it’s against your country. That’s not how it should be. These politicians and the President and entire administration swear oaths and break them constantly as well as the law and enforce unconstitutional mandates but expect the military to uphold their oaths and follow every unconstitutional order.,TRUE,0.046,0.901,0.053,0.2716,0,1,1,1
Clinton's should be locked Up!! Fucking Crooks!,TRUE,0,1,0,0,0,0,1,1
"Sadly the Dems are owned by the same people who own the GOP.  

""Don't blame me, I voted for Kodos"" is basically the motto of the USoA (and many democracies around the World.)

Oh and funding schools by local land taxes, rather than just out of a state's general pool is straight up discrimatory and disgusting.",TRUE,0.1,0.837,0.063,-0.5047,1,1,0,1
"This news reporter man need to Address 
Mrs Jones as such!!!   And Stop calling her Wanda.    She deserves total Respect as a grown Woman and Mother!!!   Period.",TRUE,0.069,0.787,0.144,0.5205,0,1,0,1
So is Joe racist and sexist? Just asking.,TRUE,0.379,0.621,0,-0.6444,1,1,0,1
I'm sure the morons on the prosecution got their law degrees by sending $12.99 + postage to an ad in the back of Lawyer Monthly Magazine.,TRUE,0.179,0.747,0.075,-0.4939,1,1,1,1
God bless both Iran and Afghanistan nations🇮🇷🇦🇫🥰,TRUE,0,0.396,0.604,0.9042,0,0,0,0
Two simps and a girl with daddy issues what could possibly go wrong?,TRUE,0.205,0.795,0,-0.4767,1,1,1,1
Actually… the motorist said he didn’t know what the hand sign meant.. it was because she mouthed “help me” two times that he knew he had to call the police….,TRUE,0,0.901,0.099,0.4939,0,0,0,0
CNN IS AN EVIL ORGANIZATION.  I only come here after reading real news to see their BS spin.  To all my America brothers that don't hate each other it is CNN that is pushing the evil divide.  If you watch CNN you are a fool.  If u work for them in any capacity u are truly supporting pur evil.  Shame on those working there. Shame.,TRUE,0.262,0.638,0.1,-0.9454,1,1,1,1
"Hey Hypocrites!  NY BLM leader threatening lives and property if the police , plainclothesman , are used again in law enforcement.",TRUE,0.156,0.844,0,-0.5707,1,1,1,1
"Poor little guy,scared to death.",TRUE,0.692,0.308,0,-0.7741,1,1,0,1
The best thing is that girl deactivated her Instagram 😂😂😂😂 that home wrecker Bianca,TRUE,0.149,0.471,0.38,0.9413,0,1,1,1
Are they being followed into the bathroom?,TRUE,0,1,0,0,0,0,0,0
"Fn idiots, cause the crap and offer a ""solution"". They really think we're stupid. We will show them midterms.",TRUE,0.255,0.651,0.094,-0.6077,1,1,1,1
lol.. Trump laughing...,TRUE,0,0.143,0.857,0.7184,0,0,0,0
I have always been an Independent voter.  I voted for Tulsi in the democrats debates.  To me she was a moderate Democrat as a few people I have always voted here in Florida.  Can't her hate her!!!,TRUE,0,0.903,0.097,0.5959,0,0,0,0
Yesterdays useless Jackass today's Garbage Freeloader!!,TRUE,0.724,0.276,0,-0.7835,1,1,1,1
"When the Confederates on the right try to steal the next election, Americans will have the 10th amendment behind them and they’re going to wish the Trump terrorists were locked up in GITMO after their attack, because it’s going to be a Confederate bloodbath after the midterms regardless of the results",TRUE,0.173,0.782,0.045,-0.8271,1,1,1,1
"When politicians cut poliece, what choice do citizens have. Good message.",TRUE,0.15,0.643,0.207,0.2023,0,1,0,1
NOT JUST ENERGY INDEPENDENCE HE IS DESTROYING AMERICA! F#$% u babbling Biden....u idiot moron!!!!,FALSE,0.589,0.411,0,-0.9367,1,1,1,1
Te queremos Rafael Correa Dios lo bendiga siempre,FALSE,0,1,0,0,0,0,0,0
LETS GO BRANDON,TRUE,0,1,0,0,0,0,1,1
"I think these brains do not consider the casual or moderate gamer.  Hardcore gamers have no problem paying for a new console every year or so and the high cable costs.  Remember the Red Ring of Death of the Xbox 360?  The casual and moderate gamers may not tolerate the waste of having to junk a console.  Virtually no resale value because who wants to buy a dying console and the frequent disposal impact to the environment.  Gaming has always been hardest on hardware because of the heat generated destroying electronics whether it be a PC, console or phone.  Perhaps in time reliability will improve but I doubt it any time soon.  The makers keep pushing the processing speed envelope to sell ever more product yet not enough to cause a class action suit because of device failures.  A delicate balance.",TRUE,0.107,0.841,0.052,-0.858,1,1,0,1
"Sure, nothing to do with prosecutor being corrupt as hell. The only criminal act in this case was that it ever brought.",TRUE,0.273,0.648,0.078,-0.7717,1,1,1,1
gretchen looks like the Evil Queen in Snow White. she needs to GO!!!!,TRUE,0.292,0.577,0.131,-0.6209,1,1,1,1
"*Every time I find out someone is a DemocRAT, I look at them as if I were Roddy Piper after he put on the Glasses.*",TRUE,0,1,0,0,0,0,1,1
Lot like Joe Brandon's border crisis in the USA.,TRUE,0.301,0.515,0.184,-0.3818,1,1,1,1
Lets See What will they say when democrats LOSE in 2022 & 2024! Because they Will Lose the house and All the other main offices!!,TRUE,0.234,0.766,0,-0.7911,1,1,1,1
"2 people dead and this how the ""five"" dumbos react.",TRUE,0.323,0.677,0,-0.6486,1,1,1,1
Ups tops out in 4 years around 40 bucks and fedex has a TEN YEAR PLAN and you go up a step every year but hadn’t given a raise in two years and Finnaly last month we got ONE lousy step up on the ten year plan that’s why everyone is quitting fedex,TRUE,0.082,0.881,0.037,-0.5574,1,1,0,1
"How could anyone think Biden is or was a moderate , he wouldn't even get out of his basement and campaign or debate ! We all knew he is a f ing  loser just from that !",TRUE,0.1,0.9,0,-0.6103,1,1,1,1
Goes to show cause someone a nurse or in the medical profession automatically means they cant be uncaring and wicked to others.,TRUE,0.139,0.861,0,-0.5267,1,1,0,0
Mentality ilhan Omar LoL,FALSE,0,0.517,0.483,0.4215,0,0,0,0
Let's Go Maddow!,TRUE,0,1,0,0,0,0,1,1
Lucky for this used car salesman he’s living in an age when you can fool some of the people all of the time and then let the MSM take care of the rest.,TRUE,0.075,0.771,0.154,0.4767,0,1,0,1
Government doesn’t control this temporary inflation. Sounds like Sean wants the government to control the means of production.,TRUE,0,0.872,0.128,0.3612,0,0,0,1
Burn it down,TRUE,0,1,0,0,0,0,1,1
"""he should be locked up"" "" he should be sued out of existence"" if only, but being a celebrity and rich and entitled nothing will become of this. he'll do a benefit show with most of the monies going to him and his clan. what a clown",TRUE,0,0.792,0.208,0.9109,0,0,1,1
Meadows took a hiatus to spend Halloween with his kids. It happens more than you'd think.,TRUE,0,1,0,0,0,0,0,0
I thought price gouging was off limits during a pandemic. Isn't inflation the same thing?,TRUE,0,1,0,0,0,0,0,0
"Where is Andy Reids son? Under the jail?

Take Kapernick before Rogers!!",TRUE,0,1,0,0,0,0,0,0
"The number of right wing Bible thumpers and pastors who've been caught with gay lovers pretty much sums up the anti-gay stance. Hell, most repubs have been drinking ""orange juice"" straight from the Orange for the past few years, especially the ""men""",TRUE,0.089,0.72,0.191,0.4939,0,1,1,1
The thumb nail. Where did you get the pic of those demons,TRUE,0,1,0,0,0,0,0,0
Sounds about white to me!,TRUE,0,1,0,0,0,0,1,1
this makes me not trust american media the way they blatantly lie,TRUE,0.197,0.803,0,-0.4023,1,1,1,1
Defund the FBI,TRUE,0,1,0,0,0,0,0,1
"I have read ""Black in Blue"" and I live in the neighborhood where the CHOP happened. I stood with the Carmen Best and the SPD. I encourage you to read her book.",TRUE,0,0.8,0.2,0.8176,0,0,0,0
Bannon reminds me of the school bully that does more and more crazy s*hit because he never gets caught - then he gets caught.,TRUE,0.219,0.781,0,-0.7316,1,1,1,1
Why is it these pre-dawn raids only seem to occur to conservatives? What about Hunter?,TRUE,0,1,0,0,0,0,0,0
The fact is Biden stopped the Keystone pipeline with more restrictions on the petrochemical industry. This Dictator is a Traitor guilty of Treason,TRUE,0.275,0.725,0,-0.765,1,1,1,1
India will be the next USA.,TRUE,0,1,0,0,0,0,0,0
Cuase.,FALSE,0,1,0,0,0,0,0,0
"If Biden isn't setting up America for the great reset by destroying both society and economy I don't know what he's doing. No one can be this incompetent.  From population replacement (open borders) to hyper inflation to destroying small business and the economy the US is being set up for Claus Schwab to implement his policies of total control.  Everything will get expensive and if you want to travel they will tax it so high because of global warming that only the rich can do it. Which is what they want because they are the elites and don't want the unwashed public to be on sunny beaches and hotels they stay at.  We get to stay in our tiny apts eating bugs and watching tv on our free cell phones.  BUILD BACK BETTER, YOU WILL OWN NOTHING AND BE HAPPY.  Be very afraid of any politician who uses these words.",TRUE,0.101,0.775,0.123,0.4302,0,1,1,1
"The Biden administration doesn’t solve problems, they create them.",TRUE,0.214,0.476,0.31,0.0516,0,1,0,0
He said he's kept in the dark like a rare organic mushroom lmao,TRUE,0,0.632,0.368,0.7506,0,0,0,0
I really like this judge. Because he is not going to take crap from anybody. It's awesome! He tells it like it is! Yay!,TRUE,0.074,0.539,0.388,0.9015,0,1,0,0
"Why are any of these lieing dirt bag still in office ,  unbelievable outrageous fraudulent leadership",TRUE,0.384,0.536,0.08,-0.7783,1,1,1,1
Your goose is over the flames. Are you feeling the heat traitor!,TRUE,0,0.86,0.14,0.2003,0,0,1,1
"Trey proved to be a traitor! Big mouth all talk, but NO action!",TRUE,0.272,0.728,0,-0.6687,1,1,1,1
"So hot it melted the lid,plus hot spices so throwing it in ur face is assault with a deadly ,chemical weapon...",TRUE,0.24,0.76,0,-0.7184,1,1,0,0
"The reality is that they want to control everything and have forgotten why they were ""elected"", to serve we the people.  When their agenda has no merit or validity they result to ""throwing a tantrum"" like a spoiled, undisciplined child and result to throwing out the race, sexist, whatever card and try to embarrass and shame people.  This is due to that they can't defend their own proposed policy because it has no merit and makes no sense! Basically they try to ""bully"" others into doing what they want done.",TRUE,0.195,0.756,0.049,-0.9355,1,1,1,1
Is this title click-bait? I didn't see any indictments in this video.,TRUE,0,1,0,0,0,0,0,0
Fake news,TRUE,0.756,0.244,0,-0.4767,1,1,1,1
Free Kyle!!,TRUE,0,0.205,0.795,0.5972,0,0,0,0
Too bad the dead cannot cry anymore but this dopey kid does a fake cry.,TRUE,0.528,0.4,0.071,-0.9086,1,1,0,1
Hunter was smart enough to smoke crack OMG,TRUE,0,0.722,0.278,0.4019,0,0,0,0
Luckily there is a product called Nightcap that was featured on Shark Tank. It doesn't guarantee you that you won't be drugged. It will cover your drink.,TRUE,0.058,0.832,0.11,0.3736,0,1,0,0
I'd be proud to call Ky.le Ritt-enhouse my son!,TRUE,0,0.702,0.298,0.5255,0,0,0,0
Is this news channel or official channels for Democratic party,TRUE,0,0.769,0.231,0.4019,0,0,0,0
"🤡🤥❌🚫SOCIALISM IS A VERY EFFECTIVE METHOD TO TURN RICH INTO POOR, POOR INTO MISERABLE AND THE LEFT IN POWER INTO MILLIONAIRES!!    WELCOME TO BIDEN'S WORLD!! Biden is a disease killing this amazing country, our economy ,our rights and our safety in record time!!!🚫❌🤥🤡",FALSE,0.269,0.505,0.227,-0.5778,1,1,1,1
Civil War,TRUE,0.796,0.204,0,-0.5994,1,1,1,1
Solid nation indeed 👍,FALSE,0,0.714,0.286,0.1531,0,0,0,0
And how many of them.have contracted metocardis???? Thats right you wont tel us.,TRUE,0,1,0,0,0,0,0,1
"How much is average floor worker paid per hour? If your average worker can't buy your product on a whim, then price of your product is of no concern. You can raise the wages of your workers, raise the price of your product, and still do just fine financially.",TRUE,0.043,0.922,0.035,-0.1027,1,1,0,1
"Following in the footsteps of another infamous Austrian.

History repeating itself.",TRUE,0,1,0,0,0,0,0,0
"It must suck for the guy giving the speech, that the President of the United States fell asleep to your speech and everyone on the planet knows how boring your speech was.",TRUE,0.135,0.729,0.135,0,0,1,0,1
"Removing Joe Biden and his staff is a good start in our recovery, we all know that to be a fact. FJB!",TRUE,0,0.868,0.132,0.4926,0,0,1,1
You rather save the earth that will hurt peoples pockets in the end.,TRUE,0.193,0.625,0.182,-0.0516,1,1,0,1
MAGA Let's go Brandon. ANOTHER BOOK! from an idiot,TRUE,0.31,0.69,0,-0.5562,1,1,1,1
"There is NO defense for this idiot!  At 17, he was in possession of a military grade rifle (a crime), and took it upon himself to cross state lines and put himself in the middle of a situation that he knew nothing of and had no right to take any matter into his own hands.  He is guilty of murder and that is indisputable!!!",TRUE,0.267,0.719,0.014,-0.9621,1,1,1,1
These people are believing they're doing something special...what?,TRUE,0,1,0,0,0,0,0,0
I just don’t trust these Democrats 🤨,TRUE,0,0.732,0.268,0.5106,0,0,0,0
okey so basically you just copying Disrupt now,TRUE,0,1,0,0,0,0,0,1
