videoId,post12CommentsNum,post12CommentsNeg1,post12CommentsNeg2,post24CommentsNum,post24CommentsNeg1,post24CommentsNeg2,post36CommentsNum,post36CommentsNeg1,post36CommentsNeg2,post48CommentsNum,post48CommentsNeg1,post48CommentsNeg2,post60CommentsNum,post60CommentsNeg1,post60CommentsNeg2,post72CommentsNum,post72CommentsNeg1,post72CommentsNeg2
ewKg8DkwcLc,3237,1535,2008,3799.0,1818.0,2350.0,4018.0,1927.0,2494.0,4168.0,2002.0,2588.0,4362.0,2099.0,2701.0,4540.0,2189.0,2812.0
E4GXPtsHwKE,996,519,707,1091.0,571.0,773.0,1189.0,618.0,837.0,1244.0,644.0,868.0,1364.0,713.0,959.0,1454.0,764.0,1024.0
IG2jqnVUMBw,1647,784,1104,2126.0,1018.0,1425.0,2206.0,1059.0,1476.0,2250.0,1079.0,1505.0,,,,,,
BPljtuBBK7o,928,453,629,1047.0,517.0,713.0,,,,,,,,,,,,
fvzdaJ6_DXc,1815,773,1101,2227.0,957.0,1357.0,2468.0,1045.0,1477.0,2608.0,1102.0,1565.0,2807.0,1196.0,1698.0,2919.0,1244.0,1775.0
GQxVA0dtmDM,686,359,451,846.0,445.0,559.0,917.0,482.0,609.0,957.0,507.0,641.0,980.0,518.0,659.0,1018.0,538.0,687.0
s4YRbvMnZyQ,2075,957,1314,2337.0,1082.0,1483.0,,,,,,,,,,,,
XRhCboDMAng,145,56,77,174.0,71.0,97.0,180.0,71.0,98.0,184.0,72.0,99.0,186.0,72.0,100.0,190.0,74.0,102.0
QwBTifI62W4,101,48,64,114.0,54.0,70.0,120.0,55.0,71.0,124.0,56.0,73.0,128.0,57.0,76.0,129.0,58.0,77.0
3CnaI6yVw6E,90,39,53,102.0,46.0,62.0,,,,,,,,,,,,
mWawMg-alKs,1608,788,1074,2517.0,1212.0,1678.0,2656.0,1285.0,1774.0,2770.0,1344.0,1852.0,2797.0,1359.0,1869.0,2849.0,1384.0,1906.0
qh1nDpR4TlI,2015,1047,1288,3489.0,1840.0,2252.0,4711.0,2508.0,3066.0,5336.0,2853.0,3489.0,5672.0,3019.0,3703.0,5902.0,3132.0,3852.0
eJkw1nOfbbo,387,157,210,,,,,,,,,,,,,,,
hjBReY0vYIc,350,152,193,422.0,180.0,237.0,435.0,185.0,246.0,457.0,192.0,255.0,,,,,,
X1DL53cVJd0,2159,980,1412,3856.0,1795.0,2540.0,4792.0,2222.0,3157.0,5369.0,2508.0,3565.0,5608.0,2621.0,3731.0,5718.0,2673.0,3805.0
pJEGUQt63gw,900,432,597,1087.0,519.0,719.0,1229.0,579.0,806.0,1312.0,616.0,860.0,1393.0,657.0,915.0,1422.0,670.0,932.0
dlMy1R0UTUk,2244,998,1360,2465.0,1089.0,1486.0,,,,,,,,,,,,
BlBvmdXvzE4,3355,1351,1893,3769.0,1509.0,2126.0,,,,,,,,,,,,
JPxQC7SiaY4,241,98,125,,,,,,,,,,,,,,,
-1SFOpLgR78,286,96,124,303.0,104.0,135.0,321.0,112.0,145.0,325.0,112.0,146.0,328.0,114.0,149.0,329.0,114.0,149.0
WW-48R_V568,1138,542,698,,,,,,,,,,,,,,,
_-m_fPx7-fo,1073,443,579,1362.0,575.0,747.0,1575.0,662.0,856.0,1645.0,694.0,895.0,1752.0,745.0,956.0,1809.0,776.0,995.0
QQ8mklgHlp0,542,204,293,643.0,245.0,354.0,684.0,263.0,376.0,696.0,270.0,384.0,,,,,,
xg20Zvhi6_o,937,335,462,1049.0,381.0,528.0,,,,,,,,,,,,
wxuY_HXSRoU,326,126,182,367.0,146.0,210.0,,,,,,,,,,,,
_ZwnAOO5w2I,1110,457,631,1536.0,610.0,858.0,1598.0,630.0,890.0,1648.0,652.0,917.0,1673.0,660.0,930.0,1696.0,671.0,942.0
_HICaBRL5g4,1192,439,611,1516.0,563.0,771.0,1604.0,597.0,817.0,1642.0,605.0,834.0,,,,,,
mM7uuVfwjE0,647,288,416,775.0,343.0,489.0,917.0,381.0,536.0,965.0,398.0,557.0,1018.0,422.0,588.0,1054.0,437.0,607.0
608lsQfxQk8,1914,1016,1297,2677.0,1455.0,1835.0,,,,,,,,,,,,
mxBacxtZ1Lk,394,188,219,855.0,409.0,517.0,1115.0,539.0,683.0,1404.0,695.0,876.0,1507.0,747.0,941.0,1661.0,820.0,1027.0
Ud2U-GUSXDA,651,346,426,1008.0,535.0,669.0,1085.0,573.0,718.0,,,,,,,,,
H9qZeriLXqs,124,55,74,,,,,,,,,,,,,,,
XT0B9abJC14,98,39,61,,,,,,,,,,,,,,,
aUzdOtOM7BI,20,5,6,23.0,8.0,9.0,,,,,,,,,,,,
rTWUZlRY7fw,29,19,21,31.0,21.0,23.0,,,,,,,,,,,,
PRd4w85d88I,62,14,24,72.0,17.0,29.0,80.0,18.0,33.0,97.0,23.0,41.0,111.0,25.0,45.0,123.0,28.0,49.0
lujyi7dzwZU,92,33,44,146.0,57.0,76.0,206.0,84.0,113.0,244.0,101.0,135.0,264.0,111.0,147.0,282.0,115.0,152.0
U72xHzjtZbM,50,12,20,,,,,,,,,,,,,,,
JOszzRANu3A,11,2,3,11.0,2.0,3.0,11.0,2.0,3.0,,,,,,,,,
